job_name,source,start_time,end_time,status,row_count,error_message
fetch_stock_basic,tushare,2026-05-10 22:04:41,2026-05-10 22:04:45,success,5839,
fetch_trade_calendar,tushare,2026-05-10 22:32:08,2026-05-10 22:32:11,success,26128,
fetch_daily,tushare,2026-05-10 23:54:49,2026-05-10 23:54:54,success,2929,
fetch_adj_factor,tushare,2026-05-10 23:54:54,2026-05-10 23:54:59,success,4028,
